supplier,vnr,ean,name,min_qty,max_qty,daily_rate,note
MS,2173,,Hleðsla með karamellubragði 8*3 1/4,3,,,Alltaf eiga 3 pakn.; Helgar/fimmtud: Alltaf eiga 3 pakn.; Eining: PK
MS,218,,Hleðsla Súkkulaðibragð 330 ml,2,,,alltaf eiga 2 pakn.; Eining: PK
MS,220,,Hleðsla Kolvetnaskert 330 ml,2,,,alltaf eiga 2 pakn.; Eining: PK
MS,221,,Hleðsla Extra 330 g,1,,,alltaf eiga 1 pakn.; Eining: PK
MS,222,,Vanillublanda 1 ltr,1,,,alltaf eiga 1 pakn.; Eining: PK
MS,223,,Hleðsla Extra Kolvetnaskert 330 g,1,,,alltaf eiga 1 pakn.; Eining: PK
MS,229,,Hleðsla Próteinkaffi 330 g,1,,,alltaf eiga 1 pakn.; Eining: PK
MS,230,,G kaffi rjómi 1/4 l,4,,,ekki kaupa fyrr en það eru 4 stk eftir; Eining: PK
MS,240,,Sýrður rjómi 18% 180 g,,,1,ca 1 pakn á dag; Eining: PK
MS,241,,Sýrður rjómi 10% 180 g,,,1.5,"ca 1,5 pakn. Á dag; Eining: PK"
